"","thresh","video","frame","x","y","w","h","class","fog","overlap"
"2385",0.4,"videoplayback_002_2.webm",94,278,222,33,41,"signalAhead",0,FALSE
"2386",0.4,"videoplayback_002_2.webm",95,273,220,35,40,"merge",0,FALSE
"2387",0.4,"videoplayback_002_2.webm",96,269,218,34,41,"merge",0,FALSE
"2388",0.4,"videoplayback_002_2.webm",97,266,215,34,44,"signalAhead",0,FALSE
"2389",0.4,"videoplayback_002_2.webm",98,259,213,37,43,"merge",0,FALSE
"2390",0.4,"videoplayback_002_2.webm",99,251,206,41,52,"merge",0,FALSE
"2391",0.4,"videoplayback_002_2.webm",100,247,202,41,54,"signalAhead",0,FALSE
"2392",0.4,"videoplayback_002_2.webm",101,237,199,44,53,"merge",0,FALSE
"2393",0.4,"videoplayback_002_2.webm",102,224,191,50,63,"merge",0,FALSE
"2394",0.4,"videoplayback_002_2.webm",103,214,187,51,62,"merge",0,FALSE
"2395",0.4,"videoplayback_002_2.webm",104,202,180,54,65,"merge",0,FALSE
"2396",0.4,"videoplayback_002_2.webm",105,188,171,55,69,"merge",0,FALSE
"2397",0.4,"videoplayback_002_2.webm",106,172,163,57,71,"merge",0,FALSE
"2398",0.4,"videoplayback_002_2.webm",107,153,156,55,67,"merge",0,FALSE
"2399",0.4,"videoplayback_002_2.webm",108,126,138,64,78,"merge",0,FALSE
"2400",0.4,"videoplayback_002_2.webm",109,90,124,76,85,"merge",0,FALSE
"2401",0.4,"videoplayback_002_2.webm",110,38,91,104,112,"merge",0,FALSE
"2402",0.4,"videoplayback_002_2.webm",111,-10,57,107,126,"signalAhead",0,FALSE
"2403",0.4,"videoplayback_002_2.webm",112,-4,45,45,100,"signalAhead",0,FALSE
"2404",0.4,"videoplayback_002_2.webm",334,211,240,15,17,"speedLimitUrdbl",0,FALSE
"2405",0.4,"videoplayback_002_2.webm",335,201,236,17,19,"speedLimitUrdbl",0,FALSE
"2406",0.4,"videoplayback_002_2.webm",337,182,232,20,22,"speedLimit25",0,FALSE
"2407",0.4,"videoplayback_002_2.webm",338,170,228,22,24,"speedLimitUrdbl",0,FALSE
"2408",0.4,"videoplayback_002_2.webm",339,157,226,22,25,"speedLimitUrdbl",0,FALSE
"2409",0.4,"videoplayback_002_2.webm",340,143,222,26,27,"speedLimit25",0,FALSE
"2410",0.4,"videoplayback_002_2.webm",341,128,219,25,27,"speedLimitUrdbl",0,FALSE
"2411",0.4,"videoplayback_002_2.webm",342,110,218,23,26,"speedLimit25",0,FALSE
"2412",0.4,"videoplayback_002_2.webm",343,89,207,36,38,"speedLimit25",0,FALSE
"2413",0.4,"videoplayback_002_2.webm",344,68,206,32,36,"speedLimit25",0,FALSE
"1",0.4,"videoplayback_001_1.webm",1,97,149,35,36,"speedLimitUrdbl",0.05,FALSE
"2",0.4,"videoplayback_001_1.webm",2,66,143,48,39,"signalAhead",0.05,FALSE
"3",0.4,"videoplayback_001_1.webm",3,48,136,52,47,"stop",0.05,FALSE
"4",0.4,"videoplayback_001_1.webm",4,31,131,41,38,"speedLimitUrdbl",0.05,TRUE
"5",0.4,"videoplayback_001_1.webm",4,23,124,60,52,"stop",0.05,TRUE
"6",0.4,"videoplayback_001_1.webm",5,-1,109,47,68,"speedLimitUrdbl",0.05,FALSE
"7",0.4,"videoplayback_001_1.webm",33,139,115,25,28,"stopAhead",0.05,FALSE
"8",0.4,"videoplayback_001_1.webm",35,125,107,28,32,"stopAhead",0.05,FALSE
"9",0.4,"videoplayback_001_1.webm",36,115,104,29,33,"pedestrianCrossing",0.05,FALSE
"10",0.4,"videoplayback_001_1.webm",37,109,99,31,37,"stopAhead",0.05,FALSE
"11",0.4,"videoplayback_001_1.webm",38,106,99,29,35,"stopAhead",0.05,FALSE
"12",0.4,"videoplayback_001_1.webm",39,96,93,31,38,"stopAhead",0.05,FALSE
"13",0.4,"videoplayback_001_1.webm",42,520,155,21,23,"speedLimit55",0.05,FALSE
